Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Skjetlein;SN67140;09.11.2017;6,6;9,5;1,9;-;-
Skjetlein;SN67140;10.11.2017;2;4,3;0,8;-;-
Skjetlein;SN67140;11.11.2017;2;4,7;-0,2;-;-
Skjetlein;SN67140;12.11.2017;2,1;5,1;0,1;-;-
Skjetlein;SN67140;13.11.2017;1;3,9;-0,5;-;-
Skjetlein;SN67140;14.11.2017;0,4;4,5;-2,7;-;-
Skjetlein;SN67140;15.11.2017;2,7;4;1,4;-;-
Skjetlein;SN67140;16.11.2017;2,2;5,8;-0,3;-;-
Skjetlein;SN67140;17.11.2017;2,1;5,1;0,4;-;-
Skjetlein;SN67140;18.11.2017;-1,5;2,6;-4,1;-;-
Skjetlein;SN67140;19.11.2017;-5;-3,2;-6,9;-;-
Skjetlein;SN67140;20.11.2017;-5,1;-2,6;-6,3;-;-
Skjetlein;SN67140;21.11.2017;-10,9;-6,3;-11,8;-;-
Skjetlein;SN67140;22.11.2017;-2,9;1,4;-12,7;-;-
Skjetlein;SN67140;23.11.2017;6,6;10,6;1,1;-;-
Skjetlein;SN67140;24.11.2017;4,3;10;1,1;-;-
Skjetlein;SN67140;25.11.2017;1,8;5,3;-0,9;-;-
Skjetlein;SN67140;26.11.2017;-2,3;2,6;-4,8;-;-
Skjetlein;SN67140;27.11.2017;-8,5;-3,3;-10,1;-;-
Skjetlein;SN67140;28.11.2017;-9,9;-8,7;-10,8;-;-
Skjetlein;SN67140;29.11.2017;-8,6;-6,4;-11,5;-;-
Skjetlein;SN67140;30.11.2017;-6,2;-5,1;-8,8;-;-
Skjetlein;SN67140;01.12.2017;-5,5;-3,1;-8,4;-;-
Skjetlein;SN67140;02.12.2017;3,6;7,8;-3,2;-;-
Skjetlein;SN67140;03.12.2017;2,2;5,4;1,3;-;-
Skjetlein;SN67140;04.12.2017;0,6;2,5;0,1;-;-
Skjetlein;SN67140;05.12.2017;0,2;1,2;-0,5;-;-
Skjetlein;SN67140;06.12.2017;-3,2;0,8;-5,5;-;-
Skjetlein;SN67140;07.12.2017;4;8,3;-4,7;-;-
Skjetlein;SN67140;08.12.2017;2,4;7,4;0,8;-;-
