Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Snødybde;Nedbør (døgn)
E39 Øysand;SN67153;22.04.2018;10,5;-;-;-;-
E39 Øysand;SN67153;23.04.2018;10,1;-;-;-;-
E39 Øysand;SN67153;24.04.2018;8,3;-;-;-;-
E39 Øysand;SN67153;25.04.2018;7;-;-;-;-
E39 Øysand;SN67153;26.04.2018;7,5;-;-;-;-
E39 Øysand;SN67153;27.04.2018;8,1;-;-;-;-
E39 Øysand;SN67153;28.04.2018;7,4;-;-;-;-
E39 Øysand;SN67153;29.04.2018;6,9;-;-;-;-
E39 Øysand;SN67153;30.04.2018;7,3;-;-;-;-
E39 Øysand;SN67153;01.05.2018;8,3;-;-;-;-
E39 Øysand;SN67153;02.05.2018;10,8;-;-;-;-
E39 Øysand;SN67153;03.05.2018;9,8;-;-;-;-
E39 Øysand;SN67153;04.05.2018;8,7;-;-;-;-
E39 Øysand;SN67153;06.05.2018;11,2;-;-;-;-
E39 Øysand;SN67153;07.05.2018;10,4;-;-;-;-
E39 Øysand;SN67153;08.05.2018;14,6;-;-;-;-
E39 Øysand;SN67153;09.05.2018;21,9;-;-;-;-
E39 Øysand;SN67153;10.05.2018;20,7;-;-;-;-
E39 Øysand;SN67153;11.05.2018;10;-;-;-;-
E39 Øysand;SN67153;13.05.2018;15,1;-;-;-;-
E39 Øysand;SN67153;14.05.2018;18,2;-;-;-;-
E39 Øysand;SN67153;15.05.2018;17,2;-;-;-;-
E39 Øysand;SN67153;31.05.2018;21,6;-;-;-;-
E39 Øysand;SN67153;01.06.2018;19,1;-;-;-;-
E39 Øysand;SN67153;02.06.2018;18,4;-;-;-;-
E39 Øysand;SN67153;03.06.2018;15,2;-;-;-;-
E39 Øysand;SN67153;11.07.2018;18,3;-;-;-;-
E39 Øysand;SN67153;12.07.2018;14,4;-;-;-;-
E39 Øysand;SN67153;13.07.2018;12,6;-;-;-;-
E39 Øysand;SN67153;14.07.2018;12,3;-;-;-;-
E39 Øysand;SN67153;15.07.2018;15;-;-;-;-
E39 Øysand;SN67153;16.07.2018;17,1;-;-;-;-
E39 Øysand;SN67153;17.07.2018;17,5;-;-;-;-
E39 Øysand;SN67153;18.07.2018;16,5;-;-;-;-
E39 Øysand;SN67153;19.07.2018;13;-;-;-;-
E39 Øysand;SN67153;20.07.2018;14,9;-;-;-;-
E39 Øysand;SN67153;21.07.2018;14,7;-;-;-;-
E39 Øysand;SN67153;22.07.2018;13,6;-;-;-;-
E39 Øysand;SN67153;23.07.2018;13,3;-;-;-;-
E39 Øysand;SN67153;24.07.2018;14,4;-;-;-;-
E39 Øysand;SN67153;25.07.2018;12,2;-;-;-;-
E39 Øysand;SN67153;26.07.2018;13,8;-;-;-;-
E39 Øysand;SN67153;27.07.2018;19,2;-;-;-;-
E39 Øysand;SN67153;28.07.2018;21,4;-;-;-;-
E39 Øysand;SN67153;29.07.2018;18,1;-;-;-;-
E39 Øysand;SN67153;30.07.2018;19,4;-;-;-;-
E39 Øysand;SN67153;31.07.2018;21,1;-;-;-;-
E39 Øysand;SN67153;01.08.2018;14,8;-;-;-;-
E39 Øysand;SN67153;02.08.2018;11,3;-;-;-;-
E39 Øysand;SN67153;03.08.2018;12,4;-;-;-;-
E39 Øysand;SN67153;04.08.2018;11,9;-;-;-;-
E39 Øysand;SN67153;05.08.2018;9,1;-;-;-;-
E39 Øysand;SN67153;06.08.2018;9,4;-;-;-;-
E39 Øysand;SN67153;07.08.2018;11,5;-;-;-;-
E39 Øysand;SN67153;08.08.2018;15;-;-;-;-
E39 Øysand;SN67153;09.08.2018;11,6;-;-;-;-
E39 Øysand;SN67153;10.08.2018;9,6;-;-;-;-
E39 Øysand;SN67153;11.08.2018;9,4;-;-;-;-
E39 Øysand;SN67153;12.08.2018;7,3;-;-;-;-
E39 Øysand;SN67153;13.08.2018;8,5;-;-;-;-
E39 Øysand;SN67153;14.08.2018;8,3;-;-;-;-
E39 Øysand;SN67153;15.08.2018;9,4;-;-;-;-
E39 Øysand;SN67153;16.08.2018;11,9;-;-;-;-
E39 Øysand;SN67153;17.08.2018;10,3;-;-;-;-
E39 Øysand;SN67153;18.08.2018;8,8;-;-;-;-
E39 Øysand;SN67153;19.08.2018;8,4;-;-;-;-
E39 Øysand;SN67153;20.08.2018;7,3;-;-;-;-
